ID,site,tank,pump,error,meter_drift_rates,change_dates
5084,0,0,0,0,,
3945,0,0,0,1,-0.014417399,10/03/2022 19:37
7144,0,0,1,0,,
6587,0,0,1,1,-0.015715223,30/01/2022 10:58
4479,0,0,2,0,,
3194,0,0,2,1,0.01506392,21/02/2022 13:43
5400,0,0,3,0,,
8334,0,0,3,1,-0.015690482,11/02/2022 15:21
7918,0,1,4,0,,
1193,0,1,4,1,-0.014524931,8/03/2022 11:03
3168,0,1,5,0,,
4697,0,1,5,1,-0.014091484,6/02/2022 8:13
9983,0,1,6,0,,
7092,0,1,6,1,0.014199751,26/01/2022 10:15
6119,0,1,2,0,,
8890,0,1,2,1,-0.015115185,20/03/2022 8:22
1720,0,2,6,0,,
9322,0,2,6,1,0.014338848,17/03/2022 18:33
2919,0,2,2,0,,
6605,0,2,2,1,-0.01408066,30/03/2022 14:39
1741,0,3,5,0,,
8075,0,3,5,1,0.014943218,3/03/2022 10:37
2120,0,3,4,0,,
9058,0,3,4,1,-0.015220687,11/03/2022 7:18
7888,0,4,0,0,,
3462,0,4,0,1,-0.014480192,26/01/2022 9:57
5092,0,4,2,0,,
8475,0,4,2,1,-0.014252487,26/03/2022 10:45
4196,0,4,1,0,,
8384,0,4,1,1,-0.015602125,27/01/2022 6:27
2070,0,4,3,0,,
9241,0,4,3,1,-0.014302691,2/03/2022 11:31
3659,0,5,6,0,,
4706,0,5,6,1,-0.014434038,13/02/2022 10:56
7347,0,5,0,0,,
4083,0,5,0,1,0.015380582,4/02/2022 18:04
6132,0,5,1,0,,
7782,0,5,1,1,-0.014128364,30/01/2022 15:13
5343,0,5,2,0,,
9746,0,5,2,1,-0.014086815,24/03/2022 11:16
8232,0,5,5,0,,
9050,0,5,5,1,-0.015676516,21/01/2022 12:59
1194,0,5,4,0,,
2979,0,5,4,1,-0.015837303,23/03/2022 16:01
1120,0,5,3,0,,
4925,0,5,3,1,-0.014178886,5/01/2022 17:46
8180,0,5,2,0,,
9440,0,5,2,1,-0.015485016,16/01/2022 9:54
1508,1,0,2,0,,
5791,1,0,2,1,0.014679567,25/04/2021 10:30
8059,1,0,3,0,,
3772,1,0,3,1,-0.014936303,24/05/2021 5:07
1713,1,0,2,0,,
4319,1,0,2,1,0.015784989,21/04/2021 16:20
3290,1,0,6,0,,
9198,1,0,6,1,-0.015587822,14/05/2021 12:45
6870,1,0,2,0,,
4642,1,0,2,1,0.015798061,15/05/2021 1:18
7197,1,1,2,0,,
7536,1,1,2,1,0.015006187,4/06/2021 6:23
8381,1,1,2,0,,
7583,1,1,2,1,-0.015805654,11/06/2021 9:17
8003,1,2,2,0,,
4704,1,2,2,1,0.015527206,23/04/2021 16:15
9032,1,2,2,0,,
5814,1,2,2,1,0.015539494,2/05/2021 20:54
3458,1,3,2,0,,
5065,1,3,2,1,-0.014798037,25/05/2021 0:35
3028,1,3,2,0,,
3749,1,3,2,1,-0.014827016,2/05/2021 20:31
4489,1,4,7,0,,
9328,1,4,7,1,0.015778508,20/05/2021 14:51
5859,1,4,8,0,,
2335,1,4,8,1,0.015316995,26/04/2021 7:56
7158,1,4,0,0,,
9642,1,4,0,1,-0.014383019,26/04/2021 10:38
7594,1,4,1,0,,
8385,1,4,1,1,-0.014304504,20/04/2021 14:31
1962,1,5,6,0,,
1442,1,5,6,1,-0.015807084,16/05/2021 0:48
2101,1,5,2,0,,
1253,1,5,2,1,-0.01430583,4/05/2021 12:31
5364,1,5,5,0,,
5830,1,5,5,1,0.015723703,23/05/2021 9:50
4743,1,5,4,0,,
2554,1,5,4,1,-0.014748229,2/06/2021 9:24
9274,1,6,5,0,,
4606,1,6,5,1,-0.015581136,14/06/2021 14:04
6366,1,6,4,0,,
2095,1,6,4,1,-0.015199708,27/04/2021 9:23
1466,1,6,0,0,,
2953,1,6,0,1,0.014520553,13/06/2021 10:07
9855,1,6,1,0,,
1545,1,6,1,1,0.015448151,18/06/2021 18:22
9777,1,7,6,0,,
7128,1,7,6,1,-0.015855263,9/05/2021 7:47
7093,1,7,2,0,,
9106,1,7,2,1,0.014293117,2/06/2021 0:44
7584,1,7,8,0,,
9218,1,7,8,1,-0.015484852,24/04/2021 16:51
8382,1,7,7,0,,
7525,1,7,7,1,-0.01555731,26/05/2021 10:05
6555,2,0,7,0,,
4596,2,0,7,1,-0.015005012,3/04/2022 19:51
7010,2,0,5,0,,
7963,2,0,5,1,-0.014756334,22/12/2021 11:13
3448,2,0,4,0,,
7097,2,0,4,1,-0.015822472,22/01/2022 19:02
3832,2,0,8,0,,
9759,2,0,8,1,-0.015818,18/01/2022 17:04
2966,2,1,7,0,,
1529,2,1,7,1,-0.014267476,26/01/2022 16:09
5711,2,1,8,0,,
8518,2,1,8,1,0.014375507,29/12/2021 14:47
6282,2,1,5,0,,
2076,2,1,5,1,-0.01414517,29/01/2022 9:32
6164,2,1,4,0,,
4139,2,1,4,1,0.015051392,7/01/2022 12:37
1456,2,2,6,0,,
9672,2,2,6,1,-0.015934637,7/01/2022 12:58
6938,2,2,2,0,,
5810,2,2,2,1,0.01405389,20/12/2021 17:36
1046,2,3,6,0,,
1830,2,3,6,1,0.014724467,30/12/2021 11:28
2650,2,3,2,0,,
3842,2,3,2,1,-0.014560272,21/12/2021 14:04
4584,2,4,3,0,,
6686,2,4,3,1,0.014056086,11/01/2022 12:06
2765,2,4,2,0,,
4166,2,4,2,1,-0.014087964,1/02/2022 12:08
9770,3,1,8,0,,
9994,3,1,8,1,-0.014052186,2/03/2022 8:53
7980,3,1,2,0,,
8221,3,1,2,1,-0.014250958,28/01/2022 8:31
9394,3,1,7,0,,
2006,3,1,7,1,-0.015377537,15/02/2022 7:19
8902,3,1,4,0,,
1201,3,1,4,1,-0.015365574,7/02/2022 15:33
1865,3,1,5,0,,
9180,3,1,5,1,0.014281072,21/01/2022 10:33
2863,3,3,2,0,,
9932,3,3,2,1,-0.014128173,10/03/2022 7:20
4496,3,3,8,0,,
6871,3,3,8,1,-0.014380536,31/01/2022 15:38
5648,3,3,4,0,,
5124,3,3,4,1,0.014359372,25/03/2022 14:02
1570,3,3,5,0,,
7534,3,3,5,1,-0.01574954,16/02/2022 11:46
4011,3,3,7,0,,
5733,3,3,7,1,-0.015040022,22/01/2022 16:28
1718,3,4,1,0,,
1630,3,4,1,1,-0.015944983,16/01/2022 9:05
6273,3,4,0,0,,
8839,3,4,0,1,-0.015906188,28/01/2022 13:05
3908,4,0,7,0,,
4502,4,0,7,1,0.014884789,25/01/2022 14:31
4368,4,0,4,0,,
6271,4,0,4,1,0.015285321,23/01/2022 8:34
9411,4,0,8,0,,
6244,4,0,8,1,0.01598799,25/02/2022 10:55
6197,4,0,5,0,,
1106,4,0,5,1,0.014381473,9/03/2022 12:27
6741,4,1,6,0,,
2583,4,1,6,1,-0.015634323,14/01/2022 12:54
6647,4,1,8,0,,
5613,4,1,8,1,0.014513984,9/03/2022 14:00
3910,4,1,2,0,,
3536,4,1,2,1,-0.014435655,28/01/2022 7:17
2181,4,1,7,0,,
8252,4,1,7,1,-0.015928598,2/02/2022 8:32
1407,4,2,4,0,,
7437,4,2,4,1,-0.014353929,29/12/2021 9:58
6485,4,2,5,0,,
7759,4,2,5,1,-0.014760732,17/03/2022 11:11
4352,4,2,1,0,,
1893,4,2,1,1,-0.015965272,27/12/2021 20:50
1057,4,2,0,0,,
1576,4,2,0,1,-0.01519206,12/02/2022 16:16
2215,4,3,2,0,,
4362,4,3,2,1,-0.014512302,16/02/2022 9:42
3257,4,3,6,0,,
7538,4,3,6,1,0.014594832,18/03/2022 16:01
3538,4,3,0,0,,
6438,4,3,0,1,0.014199801,21/02/2022 10:35
8164,4,3,1,0,,
2401,4,3,1,1,0.014748415,1/02/2022 13:07
4171,4,4,3,0,,
1728,4,4,3,1,0.014275319,12/03/2022 14:18
7248,5,0,3,0,,
8880,5,0,3,1,0.014806398,5/01/2022 10:38
8093,5,0,5,0,,
5117,5,0,5,1,0.015912888,19/01/2022 11:54
4105,5,0,2,0,,
3107,5,0,2,1,-0.015418341,9/01/2022 13:01
8442,5,0,4,0,,
1989,5,0,4,1,0.014127079,10/01/2022 18:59
3338,5,0,6,0,,
4286,5,0,6,1,-0.015224762,19/02/2022 17:21
6052,5,0,2,0,,
2725,5,0,2,1,-0.014724231,12/02/2022 17:18
9807,5,1,2,0,,
4423,5,1,2,1,0.015787926,8/02/2022 16:25
3311,5,1,2,0,,
3822,5,1,2,1,-0.014996981,24/02/2022 12:24
3142,5,2,7,0,,
4673,5,2,7,1,-0.015898875,4/02/2022 18:43
1671,5,2,4,0,,
6285,5,2,4,1,0.014108151,11/01/2022 7:47
2506,5,2,8,0,,
5627,5,2,8,1,-0.014195288,8/02/2022 13:57
3241,5,2,5,0,,
9063,5,2,5,1,-0.015932109,16/03/2022 11:26
8653,5,2,2,0,,
3026,5,2,2,1,-0.015837316,13/01/2022 13:16
6348,5,2,2,0,,
7078,5,2,2,1,0.014138065,16/02/2022 7:23
6982,5,3,0,0,,
6607,5,3,0,1,-0.01500766,1/01/2022 10:24
5829,5,3,1,0,,
8808,5,3,1,1,0.014036101,11/02/2022 16:14
8581,5,3,2,0,,
9056,5,3,2,1,-0.014072309,30/03/2022 19:48
6846,5,3,2,0,,
