ID,site,tank,pump,error,meter_drift_rates,change_dates
5084,0,0,0,0,,
3945,0,0,0,1,0.024020211,5/02/2022 7:03
7144,0,0,1,0,,
6587,0,0,1,1,-0.025235831,17/02/2022 14:24
4479,0,0,2,0,,
3194,0,0,2,1,0.025716135,30/01/2022 13:07
5400,0,0,3,0,,
8334,0,0,3,1,0.02595183,20/02/2022 14:19
7918,0,1,4,0,,
1193,0,1,4,1,-0.024036799,17/01/2022 17:11
3168,0,1,5,0,,
4697,0,1,5,1,-0.025545494,14/02/2022 18:40
9983,0,1,6,0,,
7092,0,1,6,1,0.024945682,21/02/2022 9:53
6119,0,1,2,0,,
8890,0,1,2,1,-0.024570018,24/03/2022 8:23
1720,0,2,6,0,,
9322,0,2,6,1,0.025819895,18/03/2022 18:18
2919,0,2,2,0,,
6605,0,2,2,1,0.025644729,31/03/2022 19:36
1741,0,3,5,0,,
8075,0,3,5,1,-0.025339046,11/01/2022 12:50
2120,0,3,4,0,,
9058,0,3,4,1,-0.024949532,25/02/2022 15:20
7888,0,4,0,0,,
3462,0,4,0,1,-0.024170365,21/03/2022 7:45
5092,0,4,2,0,,
8475,0,4,2,1,0.025130934,18/02/2022 12:06
4196,0,4,1,0,,
8384,0,4,1,1,-0.025741136,21/03/2022 16:56
2070,0,4,3,0,,
9241,0,4,3,1,0.025143667,19/03/2022 9:11
3659,0,5,6,0,,
4706,0,5,6,1,0.024483004,11/03/2022 9:08
7347,0,5,0,0,,
4083,0,5,0,1,0.024655344,14/03/2022 16:36
6132,0,5,1,0,,
7782,0,5,1,1,0.024024675,1/02/2022 9:08
5343,0,5,2,0,,
9746,0,5,2,1,-0.025598865,28/02/2022 17:01
8232,0,5,5,0,,
9050,0,5,5,1,0.025957458,2/02/2022 11:42
1194,0,5,4,0,,
2979,0,5,4,1,0.024732294,8/02/2022 8:50
1120,0,5,3,0,,
4925,0,5,3,1,0.024430418,15/03/2022 15:31
8180,0,5,2,0,,
9440,0,5,2,1,-0.02536342,2/03/2022 12:47
1508,1,0,2,0,,
5791,1,0,2,1,-0.024093458,27/04/2021 9:23
8059,1,0,3,0,,
3772,1,0,3,1,0.024766207,9/05/2021 16:07
1713,1,0,2,0,,
4319,1,0,2,1,0.025192138,21/06/2021 10:12
3290,1,0,6,0,,
9198,1,0,6,1,-0.024858505,21/05/2021 23:52
6870,1,0,2,0,,
4642,1,0,2,1,-0.025115779,7/05/2021 15:10
7197,1,1,2,0,,
7536,1,1,2,1,-0.024781283,25/05/2021 8:23
8381,1,1,2,0,,
7583,1,1,2,1,0.025277301,2/06/2021 12:54
8003,1,2,2,0,,
