ID,site,tank,pump,error,meter_drift_rates,change_dates
5084,0,0,0,0,,
3945,0,0,0,1,0.004001097,11/01/2022 16:33
7144,0,0,1,0,,
6587,0,0,1,1,0.005539518,21/01/2022 19:22
4479,0,0,2,0,,
3194,0,0,2,1,-0.005461697,21/02/2022 13:43
5400,0,0,3,0,,
8334,0,0,3,1,-0.005690894,31/01/2022 8:28
7918,0,1,4,0,,
1193,0,1,4,1,-0.004648451,22/01/2022 10:12
3168,0,1,5,0,,
4697,0,1,5,1,0.005299814,17/03/2022 16:22
9983,0,1,6,0,,
7092,0,1,6,1,0.004823491,31/01/2022 12:39
6119,0,1,2,0,,
8890,0,1,2,1,-0.005438572,21/03/2022 16:43
1720,0,2,6,0,,
9322,0,2,6,1,0.004803701,21/03/2022 9:34
2919,0,2,2,0,,
6605,0,2,2,1,-0.005044104,21/02/2022 18:42
1741,0,3,5,0,,
8075,0,3,5,1,0.004300946,9/02/2022 13:58
2120,0,3,4,0,,
9058,0,3,4,1,-0.005459748,26/03/2022 11:08
7888,0,4,0,0,,
3462,0,4,0,1,0.005487052,13/01/2022 12:37
5092,0,4,2,0,,
8475,0,4,2,1,0.005810161,22/03/2022 14:01
4196,0,4,1,0,,
8384,0,4,1,1,-0.004866366,2/02/2022 10:00
2070,0,4,3,0,,
9241,0,4,3,1,-0.004275942,16/03/2022 8:48
3659,0,5,6,0,,
4706,0,5,6,1,0.004034211,27/01/2022 12:43
7347,0,5,0,0,,
4083,0,5,0,1,0.005467782,23/01/2022 9:33
6132,0,5,1,0,,
7782,0,5,1,1,0.004103024,30/01/2022 16:42
5343,0,5,2,0,,
9746,0,5,2,1,-0.004293752,27/02/2022 15:40
8232,0,5,5,0,,
9050,0,5,5,1,-0.004360446,11/03/2022 15:13
1194,0,5,4,0,,
2979,0,5,4,1,-0.004883715,24/03/2022 8:55
1120,0,5,3,0,,
4925,0,5,3,1,0.00457426,17/12/2021 6:06
8180,0,5,2,0,,
9440,0,5,2,1,-0.005999136,27/12/2021 12:46
1508,1,0,2,0,,
5791,1,0,2,1,-0.005999427,22/06/2021 14:49
8059,1,0,3,0,,
3772,1,0,3,1,0.004668875,14/05/2021 7:32
1713,1,0,2,0,,
4319,1,0,2,1,0.004760515,19/05/2021 17:06
3290,1,0,6,0,,
9198,1,0,6,1,-0.005138682,20/05/2021 5:20
6870,1,0,2,0,,
4642,1,0,2,1,0.005985468,20/05/2021 10:25
7197,1,1,2,0,,
7536,1,1,2,1,0.004670445,1/05/2021 2:29
8381,1,1,2,0,,
7583,1,1,2,1,-0.004787913,30/04/2021 5:55
8003,1,2,2,0,,
4704,1,2,2,1,0.004841674,26/04/2021 14:23
9032,1,2,2,0,,
5814,1,2,2,1,-0.004663666,27/05/2021 13:29
3458,1,3,2,0,,
5065,1,3,2,1,-0.004979498,7/06/2021 8:25
3028,1,3,2,0,,
3749,1,3,2,1,-0.004743011,25/05/2021 12:48
4489,1,4,7,0,,
9328,1,4,7,1,-0.004200426,26/06/2021 13:26
5859,1,4,8,0,,
2335,1,4,8,1,-0.005786173,19/06/2021 23:10
7158,1,4,0,0,,
9642,1,4,0,1,0.005626235,20/04/2021 15:36
7594,1,4,1,0,,
8385,1,4,1,1,-0.005873411,16/05/2021 12:11
1962,1,5,6,0,,
1442,1,5,6,1,0.005308049,18/05/2021 8:51
2101,1,5,2,0,,
1253,1,5,2,1,-0.00401586,13/05/2021 19:20
5364,1,5,5,0,,
5830,1,5,5,1,0.00409099,9/05/2021 10:24
4743,1,5,4,0,,
2554,1,5,4,1,0.004817978,18/06/2021 13:20
9274,1,6,5,0,,
4606,1,6,5,1,0.00494994,23/05/2021 15:00
6366,1,6,4,0,,
2095,1,6,4,1,-0.00513564,31/05/2021 15:17
1466,1,6,0,0,,
2953,1,6,0,1,0.004226755,22/05/2021 13:06
9855,1,6,1,0,,
1545,1,6,1,1,-0.004881946,6/05/2021 8:32
9777,1,7,6,0,,
7128,1,7,6,1,0.004377574,5/06/2021 22:15
7093,1,7,2,0,,
9106,1,7,2,1,-0.004790041,22/05/2021 11:32
7584,1,7,8,0,,
9218,1,7,8,1,-0.005530028,24/06/2021 12:36
8382,1,7,7,0,,
7525,1,7,7,1,0.005850248,29/04/2021 6:06
6555,2,0,7,0,,
4596,2,0,7,1,-0.004118821,31/03/2022 12:35
7010,2,0,5,0,,
7963,2,0,5,1,0.004444279,11/02/2022 14:32
3448,2,0,4,0,,
7097,2,0,4,1,-0.005399453,19/01/2022 10:44
3832,2,0,8,0,,
9759,2,0,8,1,0.005048977,7/01/2022 14:51
2966,2,1,7,0,,
1529,2,1,7,1,-0.004392298,2/01/2022 13:53
5711,2,1,8,0,,
8518,2,1,8,1,0.005333914,17/12/2021 17:07
6282,2,1,5,0,,
2076,2,1,5,1,0.004375175,9/02/2022 6:17
6164,2,1,4,0,,
4139,2,1,4,1,-0.004833532,29/01/2022 10:19
1456,2,2,6,0,,
9672,2,2,6,1,0.005669094,19/01/2022 14:33
6938,2,2,2,0,,
5810,2,2,2,1,0.00477289,17/12/2021 18:55
1046,2,3,6,0,,
1830,2,3,6,1,0.004725511,13/01/2022 14:09
2650,2,3,2,0,,
3842,2,3,2,1,-0.004628929,30/12/2021 14:11
4584,2,4,3,0,,
6686,2,4,3,1,0.004054491,12/12/2021 12:42
2765,2,4,2,0,,
4166,2,4,2,1,0.005158408,29/01/2022 10:45
9770,3,1,8,0,,
9994,3,1,8,1,-0.005708477,16/02/2022 20:37
7980,3,1,2,0,,
8221,3,1,2,1,0.005531264,24/01/2022 16:07
9394,3,1,7,0,,
2006,3,1,7,1,-0.005812092,14/01/2022 14:59
8902,3,1,4,0,,
1201,3,1,4,1,0.004759393,13/03/2022 11:37
1865,3,1,5,0,,
9180,3,1,5,1,0.004006409,10/02/2022 6:54
2863,3,3,2,0,,
9932,3,3,2,1,-0.005100507,28/01/2022 7:08
4496,3,3,8,0,,
6871,3,3,8,1,-0.005694529,22/02/2022 20:56
5648,3,3,4,0,,
5124,3,3,4,1,0.004867756,15/01/2022 10:37
1570,3,3,5,0,,
7534,3,3,5,1,0.004405287,14/01/2022 9:51
4011,3,3,7,0,,
5733,3,3,7,1,-0.005355067,8/01/2022 17:03
1718,3,4,1,0,,
1630,3,4,1,1,-0.004479323,22/02/2022 6:56
6273,3,4,0,0,,
8839,3,4,0,1,-0.005435152,21/02/2022 14:07
3908,4,0,7,0,,
4502,4,0,7,1,-0.005580314,27/01/2022 9:04
4368,4,0,4,0,,
6271,4,0,4,1,0.004799835,17/01/2022 17:51
9411,4,0,8,0,,
6244,4,0,8,1,0.00400102,1/03/2022 6:01
6197,4,0,5,0,,
1106,4,0,5,1,-0.005196204,2/03/2022 15:07
6741,4,1,6,0,,
2583,4,1,6,1,0.004221184,26/02/2022 0:18
6647,4,1,8,0,,
5613,4,1,8,1,0.004854696,19/02/2022 17:42
3910,4,1,2,0,,
3536,4,1,2,1,-0.005932989,9/01/2022 13:03
2181,4,1,7,0,,
8252,4,1,7,1,-0.005764646,12/02/2022 9:10
1407,4,2,4,0,,
7437,4,2,4,1,0.004125586,10/03/2022 14:06
6485,4,2,5,0,,
7759,4,2,5,1,0.00403579,19/03/2022 13:00
4352,4,2,1,0,,
1893,4,2,1,1,0.004246816,5/02/2022 16:35
1057,4,2,0,0,,
1576,4,2,0,1,-0.005059159,16/03/2022 14:00
2215,4,3,2,0,,
4362,4,3,2,1,0.00425283,28/01/2022 15:06
3257,4,3,6,0,,
7538,4,3,6,1,-0.004267676,11/01/2022 18:19
3538,4,3,0,0,,
6438,4,3,0,1,-0.005167622,9/02/2022 21:17
8164,4,3,1,0,,
2401,4,3,1,1,-0.005937484,5/01/2022 15:43
4171,4,4,3,0,,
1728,4,4,3,1,-0.005074551,18/12/2021 12:14
7248,5,0,3,0,,
8880,5,0,3,1,0.005949398,15/02/2022 14:44
8093,5,0,5,0,,
5117,5,0,5,1,0.005994544,24/02/2022 15:57
4105,5,0,2,0,,
3107,5,0,2,1,-0.004339118,15/01/2022 12:44
8442,5,0,4,0,,
1989,5,0,4,1,-0.005387667,26/02/2022 16:53
3338,5,0,6,0,,
4286,5,0,6,1,-0.004659315,20/01/2022 12:06
6052,5,0,2,0,,
2725,5,0,2,1,0.004476949,6/03/2022 13:17
9807,5,1,2,0,,
4423,5,1,2,1,0.004156662,22/01/2022 9:46
3311,5,1,2,0,,
3822,5,1,2,1,0.00549516,1/02/2022 19:05
3142,5,2,7,0,,
4673,5,2,7,1,-0.005178956,29/01/2022 16:32
1671,5,2,4,0,,
6285,5,2,4,1,-0.00418301,17/02/2022 17:51
2506,5,2,8,0,,
5627,5,2,8,1,-0.004440738,17/01/2022 19:20
3241,5,2,5,0,,
9063,5,2,5,1,0.004824367,21/03/2022 11:46
8653,5,2,2,0,,
3026,5,2,2,1,0.004933977,31/12/2021 19:54
6348,5,2,2,0,,
7078,5,2,2,1,0.005749125,3/03/2022 19:57
6982,5,3,0,0,,
6607,5,3,0,1,0.004160469,3/03/2022 9:04
5829,5,3,1,0,,
8808,5,3,1,1,-0.005567917,22/03/2022 11:27
8581,5,3,2,0,,
9056,5,3,2,1,0.005172747,16/03/2022 20:07
6846,5,3,2,0,,
1853,5,3,2,1,-0.005654247,27/01/2022 17:36
3164,5,4,1,0,,
4730,5,4,1,1,0.005139412,7/02/2022 16:27
3697,5,4,0,0,,
4854,5,4,0,1,0.004159691,5/02/2022 12:59
7959,5,4,8,0,,
2053,5,4,8,1,0.00421752,30/12/2021 13:00
5624,5,4,7,0,,
3149,5,4,7,1,-0.00537877,29/01/2022 10:09
5080,6,0,6,0,,
5985,6,0,6,1,-0.004301693,11/10/2021 11:05
5953,6,0,4,0,,
9077,6,0,4,1,0.005166009,21/09/2021 8:33
6062,6,0,8,0,,
8829,6,0,8,1,0.005186364,28/08/2021 11:45
1427,6,0,7,0,,
6452,6,0,7,1,-0.004953722,4/08/2021 13:04
1543,6,0,2,0,,
8600,6,0,2,1,-0.004669369,5/08/2021 5:44
9598,6,0,1,0,,
4533,6,0,1,1,-0.00453476,27/08/2021 9:24
8737,6,0,9,0,,
4009,6,0,9,1,-0.005915225,26/08/2021 17:01
4028,6,0,9,0,,
6427,6,0,9,1,0.005002738,13/08/2021 12:55
3698,6,0,9,0,,
8807,6,0,9,1,-0.004211577,5/08/2021 15:54
6263,6,1,6,0,,
5594,6,1,6,1,-0.005828342,2/09/2021 23:26
3050,6,1,7,0,,
7204,6,1,7,1,0.005464278,31/08/2021 11:57
8293,6,1,8,0,,
5745,6,1,8,1,-0.004877174,11/08/2021 14:04
7222,6,1,2,0,,
2022,6,1,2,1,-0.004667784,27/08/2021 10:27
8287,6,1,4,0,,
9245,6,1,4,1,-0.004386124,12/08/2021 7:59
6249,6,1,1,0,,
4449,6,1,1,1,-0.004797926,16/09/2021 6:17
5432,6,2,8,0,,
